
COUNTRY,CITY,SALES,DATE
Japan,Tokyo,58328,2022-01-23 10:33
France,Toulouse,12012,2022-06-23 05:15
South Korea,Seoul,991,2022-01-23 10:33
Brazil,Sao Paulo,50492,2022-06-23 05:15
Italy,Turin,3429,2022-06-23 05:15
Italy,Rome,2896,2022-01-23 10:33
Germany,Koeln,15350,2022-06-23 05:15
Italy,Naples,31349,2022-05-18 02:33
United States,Chicago,38868,2022-05-18 02:33
Italy,Milan,33840,2022-06-23 05:15
Italy,Naples,64672,2022-04-07 9:30
United States,Houston,10879,2022-06-23 05:15
South Korea,Busan,50020,2022-06-23 05:15
Italy,Turin,62300,2022-04-07 9:30
Mexico,Guadalajara,36576,2022-05-18 02:33
United States,Washington,9320,2022-01-23 10:33
Mexico,Guadalajara,60198,2022-01-23 10:33
Germany,Berlin,4472,2022-04-07 9:30
United States,Houston,50616,2022-05-18 02:33
China,Guangzhou,53400,2022-06-23 05:15
China,Beijing,58292,2022-04-07 9:30
Germany,Munich,231,2022-06-23 05:15
United States,San Jose,42432,2022-01-23 10:33
India,Chennai,7290,2022-01-23 10:33
China,Tianjin,2808,2022-01-23 10:33
South Korea,Incheon,17422,2022-04-07 9:30
United States,Chicago,5280,2022-06-23 05:15
United States,Washington,54390,2022-05-18 02:33
United States,Undefined,5082,2022-04-07 9:30
United States,Undefined,48576,2022-05-18 02:33
Japan,Tokyo,28329,2022-01-23 10:33
Germany,Koeln,24934,2022-01-23 10:33
United States,San Jose,39952,2022-01-23 10:33
Brazil,Brasilia,9044,2022-01-23 10:33
Brazil,Sao Paulo,23595,2022-06-23 05:15
Brazil,Sao Paulo,28656,2022-06-23 05:15
Japan,Kyoto,22673,2022-05-18 02:33
Germany,Munich,5796,2022-06-23 05:15
France,Lyon,10494,2022-06-23 05:15
United States,"",14168,2022-06-23 05:15
Germany,Munich,25681,2022-01-23 10:33
Italy,Rome,38588,2022-01-23 10:33
France,Nice,6916,2022-06-23 05:15
Mexico,Mexico City,33836,2022-06-23 05:15
Mexico,Mexico City,33212,2022-05-18 02:33
Germany,Munich,20265,2022-05-18 02:33
United States,Houston,25970,2022-06-23 05:15
United States,San Jose,24200,2022-01-23 10:33
Mexico,Mexico City,9550,2022-06-23 05:15
United States,New York City,11664,2022-05-18 02:33
South Korea,Daegu,12500,2022-01-23 10:33
United States,Chicago,34194,2022-04-07 9:30
United States,Philadelphia,14760,2022-04-07 9:30
South Korea,Seoul,44968,2022-05-18 02:33
Italy,Rome,63075,2022-01-23 10:33
Brazil,Sao Paulo,25896,2022-04-07 9:30
Germany,Frankfurt am Main,29120,2022-01-23 10:33
Brazil,Belo Horizonte,7240,2022-06-23 05:15
United States,Chicago,11039,2022-05-18 02:33
India,Mumbai,33449,2022-05-18 02:33
South Korea,Busan,34176,2022-05-18 02:33
Brazil,Sao Paulo,333,2022-04-07 9:30
Brazil,Sao Paulo,22981,2022-01-23 10:33
United States,San Jose,14240,2022-05-18 02:33
India,Mumbai,50268,2022-01-23 10:33
India,Kolkata,23069,2022-01-23 10:33
United States,Washington,57200,2022-05-18 02:33
Brazil,Belo Horizonte,7667,2022-04-07 9:30
Germany,Koeln,201,2022-04-07 9:30
Brazil,Belo Horizonte,3426,2022-05-18 02:33
Brazil,Fortaleza,30774,2022-01-23 10:33
United States,Philadelphia,79637,2022-04-07 9:30
Italy,Naples,12558,2022-05-18 02:33
India,Delhi,66360,2022-04-07 9:30
Germany,Koeln,18600,2022-01-23 10:33
Germany,Munich,26163,2022-04-07 9:30
France,Nantes,3770,2022-05-18 02:33
United States,Philadelphia,20020,2022-05-18 02:33
Mexico,Iztapalapa,35926,2022-01-23 10:33
Japan,Kyoto,56840,2022-06-23 05:15
United States,Houston,11481,2022-06-23 05:15
United States,"",848,2022-05-18 02:33
China,Shanghai,3450,2022-01-23 10:33
France,Toulouse,85230,2022-04-07 9:30
South Korea,Busan,13216,2022-01-23 10:33
India,Chennai,22378,2022-05-18 02:33
China,Tianjin,22755,2022-06-23 05:15
South Korea,Busan,69792,2022-01-23 10:33
Germany,Frankfurt am Main,13464,2022-04-07 9:30
China,Tianjin,39204,2022-01-23 10:33
United States,San Jose,55506,2022-05-18 02:33
Brazil,Sao Paulo,47348,2022-04-07 9:30
Germany,Frankfurt am Main,43052,2022-06-23 05:15
France,Nice,33642,2022-06-23 05:15
Germany,Frankfurt am Main,1740,2022-05-18 02:33
United States,Washington,37111,2022-05-18 02:33
Brazil,Fortaleza,11340,2022-04-07 9:30
India,Kolkata,726,2022-04-07 9:30
Germany,Hamburg,56606,2022-04-07 9:30
France,Paris,33653,2022-05-18 02:33
France,Nantes,10126,2022-06-23 05:15
Italy,Milan,3736,2022-04-07 9:30
United States,Chicago,53172,2022-06-23 05:15
Mexico,Guadalajara,77896,2022-05-18 02:33
India,Kolkata,4662,2022-06-23 05:15
South Korea,Daegu,1593,2022-04-07 9:30
Germany,Frankfurt am Main,54549,2022-06-23 05:15
France,Lyon,27652,2022-04-07 9:30
United States,San Francisco,41356,2022-05-18 02:33
India,Chennai,53485,2022-04-07 9:30
Brazil,Sao Paulo,33507,2022-04-07 9:30
United States,Washington,431,2022-01-23 10:33
India,Delhi,1422,2022-01-23 10:33
India,Mumbai,78945,2022-06-23 05:15
China,Tianjin,22920,2022-05-18 02:33
Italy,Milan,16,2022-06-23 05:15
France,Lyon,62012,2022-04-07 9:30
India,Delhi,1398,2022-01-23 10:33
Mexico,Guadalajara,15400,2022-06-23 05:15
South Korea,Daegu,35435,2022-04-07 9:30
France,Nice,6233,2022-06-23 05:15
United States,Washington,44844,2022-06-23 05:15
Japan,Sapporo,19865,2022-06-23 05:15
Japan,Osaka,38036,2022-05-18 02:33
China,Guangzhou,34650,2022-04-07 9:30
Mexico,Iztapalapa,27094,2022-05-18 02:33
India,Kolkata,2205,2022-05-18 02:33
Italy,Milan,27738,2022-04-07 9:30
Brazil,Brasilia,40484,2022-05-18 02:33
Germany,Frankfurt am Main,6223,2022-01-23 10:33
Italy,Rome,3829,2022-06-23 05:15
Germany,Munich,5598,2022-01-23 10:33
Italy,Rome,75592,2022-06-23 05:15
South Korea,Daegu,26196,2022-06-23 05:15
Germany,Munich,638,2022-04-07 9:30
France,Toulouse,11080,2022-05-18 02:33
United States,Houston,24924,2022-01-23 10:33
United States,New York City,15072,2022-06-23 05:15
China,Shanghai,19459,2022-04-07 9:30
Italy,Rome,47790,2022-05-18 02:33
France,Nice,10160,2022-05-18 02:33
India,Delhi,2484,2022-06-23 05:15
Mexico,Iztapalapa,34809,2022-04-07 9:30
United States,New York City,11102,2022-06-23 05:15
United States,San Francisco,28652,2022-05-18 02:33
China,Tianjin,42120,2022-06-23 05:15
India,Bengaluru,5844,2022-06-23 05:15
France,Paris,11297,2022-04-07 9:30
India,Bengaluru,78489,2022-06-23 05:15
France,Lyon,54624,2022-04-07 9:30
India,Kolkata,4692,2022-04-07 9:30
India,Chennai,18907,2022-06-23 05:15
South Korea,Busan,9398,2022-04-07 9:30
South Korea,Incheon,53956,2022-05-18 02:33
China,Shanghai,77364,2022-01-23 10:33
Germany,Frankfurt am Main,7215,2022-04-07 9:30
United States,Philadelphia,14820,2022-01-23 10:33
Italy,Milan,12027,2022-01-23 10:33
Italy,Turin,26964,2022-05-18 02:33
France,Toulouse,44590,2022-04-07 9:30
United States,New York City,26320,2022-04-07 9:30
Mexico,Ecatepec de Morelos,19040,2022-06-23 05:15
China,Beijing,94368,2022-04-07 9:30
China,Guangzhou,2307,2022-05-18 02:33
Germany,Frankfurt am Main,10455,2022-04-07 9:30
China,Beijing,14880,2022-01-23 10:33
South Korea,Busan,42889,2022-06-23 05:15
United States,New York City,596,2022-01-23 10:33
India,Chennai,22407,2022-04-07 9:30
South Korea,Daegu,2115,2022-06-23 05:15
United States,Los Angeles,1680,2022-05-18 02:33
France,Nantes,53710,2022-04-07 9:30
India,Kolkata,17856,2022-05-18 02:33
India,Mumbai,3120,2022-01-23 10:33
South Korea,Busan,61054,2022-01-23 10:33
China,Shanghai,24820,2022-01-23 10:33
Brazil,Sao Paulo,20468,2022-01-23 10:33
India,Chennai,3750,2022-06-23 05:15
India,Mumbai,20880,2022-06-23 05:15
China,Tianjin,38320,2022-05-18 02:33
United States,Washington,14760,2022-06-23 05:15
China,Shanghai,70374,2022-01-23 10:33
United States,Chicago,39204,2022-01-23 10:33
India,Kolkata,55638,2022-06-23 05:15
United States,San Jose,4176,2022-05-18 02:33
South Korea,Busan,628,2022-05-18 02:33
China,Guangzhou,21373,2022-01-23 10:33
Italy,Naples,18525,2022-04-07 9:30
Italy,Rome,23664,2022-04-07 9:30
France,Toulouse,19270,2022-05-18 02:33
United States,Chicago,32368,2022-04-07 9:30
Italy,Turin,23903,2022-04-07 9:30
India,Mumbai,14490,2022-05-18 02:33
Italy,Turin,16170,2022-06-23 05:15
United States,Chicago,77142,2022-06-23 05:15
China,Tianjin,8760,2022-01-23 10:33
South Korea,Daegu,21291,2022-05-18 02:33
India,Mumbai,11180,2022-01-23 10:33
United States,Los Angeles,4161,2022-04-07 9:30
United States,Chicago,7592,2022-01-23 10:33
United States,Houston,11880,2022-05-18 02:33
Germany,Frankfurt am Main,3910,2022-06-23 05:15
United States,Houston,7456,2022-04-07 9:30
France,Lyon,11978,2022-01-23 10:33
Japan,Kyoto,40656,2022-06-23 05:15
Mexico,Ecatepec de Morelos,21924,2022-06-23 05:15
India,Bengaluru,78336,2022-04-07 9:30
Italy,Naples,13690,2022-01-23 10:33
Italy,Rome,40176,2022-06-23 05:15
Mexico,Guadalajara,12518,2022-05-18 02:33
India,Bengaluru,9568,2022-05-18 02:33
Brazil,Belo Horizonte,17376,2022-04-07 9:30
Germany,Berlin,7700,2022-04-07 9:30
South Korea,Incheon,31093,2022-06-23 05:15
France,Lyon,17404,2022-05-18 02:33
India,Chennai,26312,2022-04-07 9:30
Brazil,Brasilia,87808,2022-01-23 10:33
Italy,Naples,1924,2022-05-18 02:33
South Korea,Incheon,53576,2022-01-23 10:33
France,Toulouse,30285,2022-01-23 10:33
Germany,Koeln,55188,2022-04-07 9:30
United States,Philadelphia,14283,2022-05-18 02:33
Germany,Berlin,4563,2022-05-18 02:33
India,Chennai,45288,2022-06-23 05:15
United States,Washington,47367,2022-06-23 05:15
France,Nantes,3926,2022-05-18 02:33
Germany,Hamburg,5085,2022-05-18 02:33
India,Mumbai,25728,2022-04-07 9:30
India,Bengaluru,29274,2022-05-18 02:33
Mexico,Ecatepec de Morelos,68288,2022-05-18 02:33
Italy,Milan,14654,2022-06-23 05:15
India,Kolkata,17024,2022-01-23 10:33
Mexico,Mexico City,50215,2022-06-23 05:15
China,Guangzhou,14025,2022-04-07 9:30
South Korea,Busan,16835,2022-04-07 9:30
India,Chennai,94050,2022-01-23 10:33
United States,Los Angeles,1258,2022-05-18 02:33
China,Beijing,6874,2022-01-23 10:33
United States,Houston,2968,2022-05-18 02:33
Italy,Milan,15840,2022-01-23 10:33
United States,Undefined,5880,2022-05-18 02:33
France,Nantes,6873,2022-04-07 9:30
Brazil,Fortaleza,29906,2022-04-07 9:30
India,Kolkata,85260,2022-06-23 05:15
France,Paris,25990,2022-05-18 02:33
Japan,Tokyo,25676,2022-01-23 10:33
Italy,Naples,7380,2022-01-23 10:33
Mexico,Puebla,16000,2022-05-18 02:33
United States,New York City,11531,2022-05-18 02:33
Japan,Osaka,47184,2022-01-23 10:33
China,Beijing,39942,2022-04-07 9:30
France,Toulouse,1606,2022-01-23 10:33
Italy,Turin,87141,2022-06-23 05:15
Brazil,Brasilia,34200,2022-06-23 05:15
Brazil,Sao Paulo,14976,2022-04-07 9:30
China,Shanghai,1730,2022-05-18 02:33
United States,San Jose,12012,2022-04-07 9:30
Japan,Osaka,3926,2022-06-23 05:15
Germany,Hamburg,28043,2022-01-23 10:33
France,Paris,33060,2022-01-23 10:33
Mexico,Mexico City,19998,2022-06-23 05:15
United States,Houston,1428,2022-04-07 9:30
Mexico,Guadalajara,85,2022-01-23 10:33
South Korea,Busan,24150,2022-06-23 05:15
China,Guangzhou,56320,2022-05-18 02:33
Mexico,Iztapalapa,19942,2022-04-07 9:30
Mexico,Mexico City,5719,2022-05-18 02:33
Brazil,Sao Paulo,77235,2022-06-23 05:15
India,Delhi,4832,2022-01-23 10:33
Japan,Tokyo,12956,2022-06-23 05:15
India,Chennai,60135,2022-01-23 10:33
South Korea,Busan,12200,2022-06-23 05:15
Brazil,Sao Paulo,13940,2022-06-23 05:15
China,Tianjin,1800,2022-05-18 02:33
Italy,Turin,598,2022-06-23 05:15
South Korea,Incheon,1776,2022-05-18 02:33
United States,Undefined,20088,2022-04-07 9:30
United States,San Jose,54796,2022-04-07 9:30
Germany,Frankfurt am Main,85900,2022-04-07 9:30
France,Nice,80040,2022-04-07 9:30
Italy,Milan,50240,2022-01-23 10:33
Italy,Rome,1041,2022-01-23 10:33
Italy,Naples,50635,2022-01-23 10:33
Brazil,Sao Paulo,12220,2022-01-23 10:33
Germany,Munich,19292,2022-06-23 05:15
France,Lyon,11718,2022-04-07 9:30
South Korea,Busan,2112,2022-05-18 02:33
China,Beijing,7659,2022-04-07 9:30
Germany,Hamburg,10508,2022-01-23 10:33
South Korea,Incheon,12276,2022-01-23 10:33
United States,Washington,25800,2022-04-07 9:30
China,Guangzhou,6390,2022-01-23 10:33
South Korea,Seoul,21168,2022-06-23 05:15
China,Shanghai,7215,2022-04-07 9:30
Mexico,Mexico City,5263,2022-04-07 9:30
United States,Washington,20808,2022-01-23 10:33
Mexico,Puebla,715,2022-01-23 10:33
India,Chennai,30331,2022-01-23 10:33
Italy,Rome,48732,2022-05-18 02:33
South Korea,Incheon,15240,2022-01-23 10:33
France,Nantes,3416,2022-01-23 10:33
Mexico,Ecatepec de Morelos,10878,2022-06-23 05:15
Italy,Rome,11656,2022-01-23 10:33
Italy,Naples,28083,2022-01-23 10:33
South Korea,Busan,24209,2022-01-23 10:33
United States,Houston,64574,2022-06-23 05:15
Mexico,Puebla,74636,2022-06-23 05:15
India,Chennai,35216,2022-06-23 05:15
France,Toulouse,13689,2022-06-23 05:15
Mexico,Ecatepec de Morelos,38080,2022-06-23 05:15
Germany,Munich,11934,2022-04-07 9:30
Mexico,Puebla,61110,2022-04-07 9:30
India,Mumbai,2820,2022-06-23 05:15
Japan,Kyoto,14596,2022-01-23 10:33
Japan,Kyoto,13724,2022-01-23 10:33
India,Kolkata,10374,2022-01-23 10:33
Brazil,Sao Paulo,35175,2022-04-07 9:30
South Korea,Busan,5760,2022-05-18 02:33
United States,Washington,7038,2022-06-23 05:15
South Korea,Seoul,23577,2022-05-18 02:33
South Korea,Seoul,50281,2022-06-23 05:15
France,Nantes,930,2022-05-18 02:33
Japan,Osaka,41075,2022-04-07 9:30
China,Shanghai,17550,2022-06-23 05:15
Japan,Osaka,23256,2022-04-07 9:30
Japan,Tokyo,1326,2022-04-07 9:30
South Korea,Incheon,126,2022-01-23 10:33
Mexico,Ecatepec de Morelos,9460,2022-05-18 02:33
France,Paris,6878,2022-05-18 02:33
China,Tianjin,25038,2022-01-23 10:33
Germany,Koeln,4725,2022-01-23 10:33
Germany,Frankfurt am Main,22320,2022-05-18 02:33
Italy,Naples,14235,2022-01-23 10:33
United States,Houston,38200,2022-05-18 02:33
France,Paris,1736,2022-04-07 9:30
China,Beijing,396,2022-06-23 05:15
France,Nantes,16592,2022-01-23 10:33
United States,Washington,20213,2022-05-18 02:33
France,Toulouse,59594,2022-05-18 02:33
Brazil,Sao Paulo,69286,2022-01-23 10:33
Brazil,Brasilia,18432,2022-05-18 02:33
China,Tianjin,2640,2022-04-07 9:30
France,Nantes,42552,2022-01-23 10:33
South Korea,Seoul,54107,2022-05-18 02:33
Brazil,Fortaleza,72525,2022-06-23 05:15
Brazil,Belo Horizonte,40702,2022-01-23 10:33
Brazil,Fortaleza,51030,2022-05-18 02:33
Mexico,Puebla,15810,2022-06-23 05:15
Mexico,Guadalajara,12654,2022-04-07 9:30
China,Shanghai,82626,2022-04-07 9:30
United States,Los Angeles,47966,2022-04-07 9:30
France,Nantes,65860,2022-05-18 02:33
Japan,Tokyo,43350,2022-06-23 05:15
South Korea,Busan,24696,2022-05-18 02:33
Germany,Munich,35360,2022-06-23 05:15
Italy,Rome,6820,2022-05-18 02:33
Brazil,Brasilia,14388,2022-05-18 02:33
Mexico,Guadalajara,24990,2022-04-07 9:30
France,Nice,27000,2022-04-07 9:30
Japan,Tokyo,19656,2022-04-07 9:30
China,Shanghai,2610,2022-01-23 10:33
United States,Philadelphia,40035,2022-05-18 02:33
Germany,Frankfurt am Main,12240,2022-06-23 05:15
United States,Washington,9945,2022-01-23 10:33
China,Beijing,12617,2022-01-23 10:33
Italy,Naples,13143,2022-01-23 10:33
France,Toulouse,20916,2022-05-18 02:33
United States,San Francisco,60858,2022-05-18 02:33
Italy,Rome,87417,2022-06-23 05:15
France,Toulouse,14770,2022-04-07 9:30
France,Paris,19320,2022-06-23 05:15
Germany,Koeln,89,2022-01-23 10:33
France,Lyon,4800,2022-06-23 05:15
Japan,Sapporo,65016,2022-05-18 02:33
China,Tianjin,15486,2022-05-18 02:33
South Korea,Seoul,6360,2022-04-07 9:30
India,Kolkata,6432,2022-04-07 9:30
Mexico,Iztapalapa,45696,2022-01-23 10:33
India,Mumbai,16646,2022-01-23 10:33
India,Delhi,3330,2022-05-18 02:33
Brazil,Brasilia,84,2022-06-23 05:15
China,Beijing,88076,2022-04-07 9:30
South Korea,Seoul,70300,2022-06-23 05:15
Mexico,Mexico City,2756,2022-05-18 02:33
United States,Undefined,72228,2022-05-18 02:33
South Korea,Daegu,26928,2022-05-18 02:33
United States,Undefined,1365,2022-04-07 9:30
Mexico,Mexico City,13454,2022-05-18 02:33
Mexico,Mexico City,924,2022-01-23 10:33
United States,Philadelphia,810,2022-04-07 9:30
Japan,Tokyo,43945,2022-06-23 05:15
Mexico,Guadalajara,15990,2022-06-23 05:15
China,Tianjin,28270,2022-01-23 10:33
Mexico,Guadalajara,33453,2022-05-18 02:33
United States,Washington,53406,2022-05-18 02:33
South Korea,Daegu,61845,2022-05-18 02:33
France,Nice,3366,2022-01-23 10:33
United States,"",3794,2022-01-23 10:33
South Korea,Busan,2816,2022-06-23 05:15
United States,San Jose,32021,2022-05-18 02:33
Brazil,Fortaleza,59203,2022-04-07 9:30
Italy,Turin,27860,2022-05-18 02:33
Germany,Hamburg,18318,2022-01-23 10:33
France,Paris,36966,2022-05-18 02:33
China,Tianjin,21888,2022-01-23 10:33
Germany,Munich,41715,2022-04-07 9:30
Germany,Frankfurt am Main,44250,2022-04-07 9:30
United States,Houston,13365,2022-05-18 02:33
India,Delhi,66216,2022-05-18 02:33
Brazil,Belo Horizonte,7535,2022-01-23 10:33
Japan,Kyoto,17360,2022-05-18 02:33
United States,Houston,15582,2022-05-18 02:33
United States,San Jose,23004,2022-01-23 10:33
France,Nantes,10668,2022-04-07 9:30
China,Beijing,49450,2022-06-23 05:15
China,Guangzhou,5643,2022-06-23 05:15
France,Toulouse,5240,2022-01-23 10:33
